taxon	n_methods	mean_rank	rank_std	rank_range	top5_fraction	sign_stable	pseudocount_stable	stability_score
Citrobacter freundii	11	92.45	57.08	140.0	0.0	False	False	0.1491
Ruegeria pomeroyi	11	92.64	58.64	167.0	0.0	False	False	0.1457
Flavobacterium xanthum	11	92.64	45.75	142.0	0.0	False	False	0.1794
Halopseudomonas pelagia	11	92.73	45.57	138.0	0.0	False	False	0.1799
Gemmata massiliana	11	92.73	49.64	137.0	0.0	False	False	0.1677
Azotobacter nigricans	11	93.18	49.12	159.0	0.0	False	False	0.1691
Massilia agri	11	93.36	54.27	139.0	0.0	False	False	0.1556
Thalassotalea marina	11	93.55	50.99	137.0	0.0	False	False	0.1639
Serratia ureilytica	11	93.64	50.53	136.0	0.0	False	False	0.1652
Raoultella electrica	11	93.64	56.75	171.0	0.0	False	False	0.1498
Stutzerimonas kunmingensis	11	93.91	49.45	133.0	0.0	False	False	0.1682
Lysobacter brunescens	11	94.18	60.73	157.0	0.0	False	False	0.1414
Flavobacterium luticocti	11	94.18	48.14	138.0	0.0	False	False	0.172
Ralstonia pickettii	11	94.36	56.51	167.0	0.0	False	False	0.1504
Enterobacter cloacae	11	94.36	46.1	137.0	0.0	False	False	0.1782
Acinetobacter chinensis	11	94.45	48.35	141.0	0.0	False	False	0.1714
Flavobacterium enshiense	11	94.45	44.76	136.0	0.0	False	False	0.1826
Trabulsiella guamensis	11	94.73	51.18	141.0	0.0	False	False	0.1635
Roseibium sediminis	11	94.82	71.98	158.0	0.0	False	False	0.122
Flavobacterium caeni	11	94.82	44.49	137.0	0.0	False	False	0.1835
Kosakonia arachidis	11	95.55	49.33	139.0	0.0	False	False	0.1685
Rhizorhapis suberifaciens	11	95.55	48.71	138.0	0.0	False	False	0.1703
Flavobacterium dongtanense	11	95.91	47.44	140.0	0.0	False	False	0.1741
Sphingomonas koreensis	11	96.0	48.98	136.0	0.0	False	False	0.1696
Thiomicrorhabdus heinhorstiae	11	96.36	49.63	137.0	0.0	False	False	0.1677
Runella soli	11	96.64	53.15	137.0	0.0	False	False	0.1584
Cupriavidus yeoncheonensis	11	96.91	45.21	137.0	0.0	False	False	0.1811
Flavobacterium palustre	11	97.09	49.46	130.0	0.0	False	False	0.1682
Luteimonas abyssi	11	97.36	52.15	137.0	0.0	False	False	0.1609
Brenneria rubrifaciens	11	97.45	45.26	153.0	0.0	False	False	0.181
Massilia yuzhufengensis	11	97.64	51.3	128.0	0.0	False	False	0.1631
Vibrio cholerae	11	97.82	51.86	145.0	0.0	False	False	0.1617
Yersinia rochesterensis	11	98.91	53.93	150.0	0.0	False	False	0.1564
Exiguobacterium marinum	11	99.27	48.19	121.0	0.0	False	False	0.1718
Luminiphilus syltensis	11	99.27	53.89	139.0	0.0	False	False	0.1565
Cupriavidus plantarum	11	99.45	38.15	138.0	0.0	False	False	0.2077
Shewanella litorisediminis	11	99.45	51.73	145.0	0.0	False	False	0.162
Methylovulum psychrotolerans	11	100.09	53.16	139.0	0.0	False	False	0.1583
Pseudomonas savastanoi	11	100.55	57.12	139.0	0.0	False	False	0.149
Exiguobacterium alkaliphilum	11	100.64	47.12	111.0	0.0	False	False	0.1751
Massilia norwichensis	11	100.82	55.76	144.0	0.0	False	False	0.1521
Vibrio litoralis	11	100.82	52.9	145.0	0.0	False	False	0.159
Paraburkholderia pallida	11	100.82	50.61	126.0	0.0	False	False	0.165
Entomohabitans teleogrylli	11	101.0	38.62	144.0	0.0	False	False	0.2057
Moritella profunda	11	101.0	50.98	135.0	0.0	False	False	0.164
Brachybacterium aquaticum	11	101.09	30.29	100.0	0.0	False	False	0.2482
Azomonas agilis	11	101.18	49.53	148.0	0.0	False	False	0.168
