taxon	Jumper	Laggard	fold_diff	direction	contaminant_flag	contamination_score	contamination_risk	pseudocount_stable	pseudocount_stability_score	pseudocount_mean_rank	pseudocount_rank_std	sign_stable	top5_stable_pseudocount	loto_top5_stability	loto_mean_rank_shift	loto_influence_score	is_high_leverage	pseudocount_score	loto_score	combined_stability	stability_tier
Endothiovibrio diazotrophicus	15	0		Jumper-exclusive	False	0.0223	LOW	False	0.113	61.0	78.5	False	0.545	1.0	-0.02	0.015439	False	0.113	0.9998	0.5564	MEDIUM
Enterobacter asburiae	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1741	65.82	47.45	False	0.273	0.0	-0.15	0.001186	False	0.1741	0.9985	0.5863	MEDIUM
Flavobacterium jumunjinense	8	0		Jumper-exclusive	True	0.0524	LOW	False	0.1149	67.18	77.04	False	0.182	0.0	-0.05	0.012131	False	0.1149	0.9995	0.5572	MEDIUM
Flavobacterium phocarum	1	0		Jumper-exclusive	True	0.8646	HIGH	False	0.1809	67.36	45.27	False	0.0	0.0	-0.24	0.001186	False	0.1809	0.9976	0.5893	MEDIUM
Flavobacterium silvisoli	2	0		Jumper-exclusive	True	0.1976	LOW	False	0.1718	78.18	48.2	False	0.0	0.0	0.09	0.004834	False	0.1718	0.9991	0.5854	MEDIUM
Fluviimonas pallidilutea	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1885	67.73	43.04	False	0.0	0.0	0.81	0.001186	False	0.1885	0.9919	0.5902	MEDIUM
Franconibacter helveticus	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1666	78.0	50.03	False	0.0	0.0	0.05	0.004834	False	0.1666	0.9995	0.5831	MEDIUM
Haliea alexandrii	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.179	69.27	45.87	False	0.0	0.0	-1.51	0.001186	False	0.179	0.9849	0.582	MEDIUM
Haloferula luteola	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.198	69.91	40.5	False	0.0	0.0	1.77	0.001186	False	0.198	0.9823	0.5901	MEDIUM
Insectihabitans xujianqingii	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1746	67.73	47.28	False	0.0	0.0	0.0	0.001186	False	0.1746	1.0	0.5873	MEDIUM
Klebsiella quasipneumoniae	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1869	68.45	43.52	False	0.0	0.0	2.85	0.001186	False	0.1869	0.9715	0.5792	MEDIUM
Klebsiella quasivariicola	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1839	68.91	44.37	False	0.0	0.0	-2.34	0.001186	False	0.1839	0.9766	0.5802	MEDIUM
Kluyvera ascorbata	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1735	80.09	47.64	False	0.0	0.0	0.03	0.004834	False	0.1735	0.9997	0.5866	MEDIUM
Kytococcus sedentarius	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1892	73.91	42.86	False	0.0	0.0	-19.63	0.001186	False	0.1892	0.8037	0.4964	LOW
Mangrovibacter plantisponsor	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2152	71.27	36.47	False	0.0	0.0	28.03	0.001186	True	0.2152	0.7197	0.4674	LOW
Maribius pelagius	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2038	74.73	39.08	False	0.0	0.0	1.25	0.001186	False	0.2038	0.9875	0.5956	MEDIUM
