taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
37	0	1	0.0	0.1965	-1.516	-1.3461	-6.341	2.382	2.188	0.2377	0.7623	Laggard-exclusive (low-count)	False	20000	Exiguobacterium undae
38	0	1	0.0	0.1965	-1.5333	-1.3698	-6.4185	2.3718	2.1998	0.2367	0.7632	Laggard-exclusive (low-count)	False	20000	Flavobacterium caeni
39	0	1	0.0	0.1965	-1.5154	-1.3717	-6.306	2.3625	2.1603	0.2397	0.7602	Laggard-exclusive (low-count)	False	20000	Flavobacterium dongtanense
40	0	1	0.0	0.1965	-1.5032	-1.333	-6.3997	2.3554	2.1752	0.2397	0.7602	Laggard-exclusive (low-count)	False	20000	Flavobacterium enshiense
41	3	12	0.5587	2.3576	-1.9065	-1.8617	-3.7141	-0.3356	0.8615	0.0072	0.9928	Laggard-enriched	True	20000	Flavobacterium haoranii
42	8	0	1.4898	0.0	3.8456	3.5681	0.8916	8.4563	1.9228	0.9977	0.0024	Jumper-enriched	True	20000	Flavobacterium jumunjinense
43	0	1	0.0	0.1965	-1.5168	-1.3696	-6.2606	2.3742	2.1713	0.2392	0.7608	Laggard-exclusive (low-count)	False	20000	Flavobacterium luticocti
44	0	1	0.0	0.1965	-1.5171	-1.3436	-6.3344	2.3267	2.1677	0.2369	0.7631	Laggard-exclusive (low-count)	False	20000	Flavobacterium palustre
45	1	0	0.1862	0.0	1.3462	1.1857	-2.4495	6.1977	2.1479	0.7336	0.2665	Jumper-exclusive (low-count)	False	20000	Flavobacterium phocarum
46	2	0	0.3724	0.0	2.0654	1.8472	-1.316	6.667	2.0221	0.8654	0.1346	Jumper-exclusive (low-count)	False	20000	Flavobacterium silvisoli
47	0	1	0.0	0.1965	-1.5156	-1.3339	-6.3967	2.3097	2.1899	0.2399	0.7601	Laggard-exclusive (low-count)	False	20000	Flavobacterium xanthum
48	1	0	0.1862	0.0	1.3601	1.1881	-2.5196	6.2037	2.173	0.7356	0.2645	Jumper-exclusive (low-count)	False	20000	Fluviimonas pallidilutea
49	2	0	0.3724	0.0	2.0633	1.8382	-1.3775	6.8456	2.045	0.8627	0.1373	Jumper-exclusive (low-count)	False	20000	Franconibacter helveticus
50	0	1	0.0	0.1965	-1.4992	-1.3457	-6.3487	2.3294	2.1619	0.2374	0.7625	Laggard-exclusive (low-count)	False	20000	Gemmata massiliana
51	1	0	0.1862	0.0	1.3433	1.1944	-2.5359	6.2051	2.157	0.7335	0.2666	Jumper-exclusive (low-count)	False	20000	Haliea alexandrii
52	1	0	0.1862	0.0	1.3655	1.1825	-2.4503	6.2293	2.1636	0.7377	0.2623	Jumper-exclusive (low-count)	False	20000	Haloferula luteola
53	0	1	0.0	0.1965	-1.5006	-1.3528	-6.2581	2.397	2.152	0.2379	0.7621	Laggard-exclusive (low-count)	False	20000	Halopseudomonas pelagia
54	0	1	0.0	0.1965	-1.5013	-1.3255	-6.3069	2.327	2.147	0.2361	0.764	Laggard-exclusive (low-count)	False	20000	Hansschlegelia beijingensis
55	1	0	0.1862	0.0	1.3719	1.24	-2.5701	6.1372	2.17	0.7398	0.2602	Jumper-exclusive (low-count)	False	20000	Insectihabitans xujianqingii
56	0	2	0.0	0.3929	-2.2355	-2.0321	-6.7505	1.1866	2.0135	0.1115	0.8885	Laggard-exclusive (low-count)	False	20000	Janibacter endophyticus
57	298	17	55.4935	3.3399	4.0183	4.0064	3.3764	4.7271	0.3433	1.0	0.0	Jumper-enriched	True	20000	Jiulongibacter sediminis
58	1	0	0.1862	0.0	1.3392	1.1766	-2.5141	6.119	2.1555	0.734	0.266	Jumper-exclusive (low-count)	False	20000	Klebsiella quasipneumoniae
59	1	0	0.1862	0.0	1.3986	1.2351	-2.4281	6.1909	2.1614	0.7422	0.2577	Jumper-exclusive (low-count)	False	20000	Klebsiella quasivariicola
60	34	9	6.3315	1.7682	1.7848	1.7652	0.824	2.8688	0.5204	0.9999	0.0001	Jumper-enriched	True	20000	Klebsiella variicola
61	2	0	0.3724	0.0	2.1018	1.8826	-1.331	6.7208	2.0383	0.8668	0.1333	Jumper-exclusive (low-count)	False	20000	Kluyvera ascorbata
62	2	2	0.3724	0.3929	-0.0813	-0.0877	-2.59	2.4575	1.2748	0.4698	0.5302	Laggard-leaning (uncertain)	False	20000	Kluyvera georgiana
63	0	1	0.0	0.1965	-1.5236	-1.3692	-6.3326	2.3364	2.1724	0.2397	0.7602	Laggard-exclusive (low-count)	False	20000	Kosakonia arachidis
64	1	0	0.1862	0.0	1.3644	1.1977	-2.4526	6.1519	2.1799	0.7327	0.2673	Jumper-exclusive (low-count)	False	20000	Kytococcus sedentarius
65	4	3	0.7449	0.5894	0.2752	0.2692	-1.7093	2.3169	1.0175	0.6067	0.3933	Jumper-leaning (uncertain)	False	20000	Leclercia pneumoniae
66	0	2	0.0	0.3929	-2.2283	-2.0217	-6.8883	1.2268	2.039	0.1157	0.8843	Laggard-exclusive (low-count)	False	20000	Lewinella cohaerens
67	0	1	0.0	0.1965	-1.4929	-1.3381	-6.257	2.2929	2.1498	0.2428	0.7572	Laggard-exclusive (low-count)	False	20000	Limnoglobus roseus
68	0	1	0.0	0.1965	-1.5137	-1.3484	-6.4451	2.4126	2.1912	0.2363	0.7637	Laggard-exclusive (low-count)	False	20000	Luminiphilus syltensis
69	0	1	0.0	0.1965	-1.5155	-1.34	-6.3195	2.3143	2.1649	0.2378	0.7622	Laggard-exclusive (low-count)	False	20000	Luteimonas abyssi
70	0	5	0.0	0.9823	-3.3843	-3.1354	-7.8715	-0.3217	1.9192	0.0127	0.9873	Laggard-enriched	True	20000	Lysobacter brunescens
71	1	0	0.1862	0.0	1.3455	1.1647	-2.5314	6.2286	2.1654	0.7365	0.2635	Jumper-exclusive (low-count)	False	20000	Mangrovibacter plantisponsor
72	1	0	0.1862	0.0	1.3608	1.1844	-2.5282	6.1602	2.1735	0.737	0.263	Jumper-exclusive (low-count)	False	20000	Maribius pelagius
