taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
158	0	4	0.0	0.7859	-3.0555	-2.7951	-7.6868	0.0454	1.9497	0.0272	0.9728	Laggard-enriched	False	20000	Pseudomonas viridiflava
159	0	4	0.0	0.7859	-3.0663	-2.8178	-7.6536	0.0893	1.9497	0.0288	0.9712	Laggard-enriched	False	20000	Pseudomonas zeshuii
160	1	1	0.1862	0.1965	-0.0698	-0.0644	-3.3157	3.1945	1.6289	0.4839	0.5161	Laggard-leaning (uncertain)	False	20000	Rahnella aceris
161	0	1	0.0	0.1965	-1.5271	-1.3645	-6.3225	2.3537	2.1643	0.2362	0.7638	Laggard-exclusive (low-count)	False	20000	Rahnella bonaserana
162	4	0	0.7449	0.0	2.9439	2.6977	-0.1965	7.5477	1.9702	0.9642	0.0358	Jumper-enriched	False	20000	Rahnella inusitata
163	2	0	0.3724	0.0	2.065	1.8322	-1.3629	6.8395	2.0401	0.8657	0.1343	Jumper-exclusive (low-count)	False	20000	Ralstonia pickettii
164	2	0	0.3724	0.0	2.0707	1.8663	-1.3592	6.6764	2.0274	0.8608	0.1392	Jumper-exclusive (low-count)	False	20000	Raoultella electrica
165	1	0	0.1862	0.0	1.3505	1.1935	-2.4615	6.1372	2.1496	0.7347	0.2653	Jumper-exclusive (low-count)	False	20000	Rhizorhapis suberifaciens
166	0	6	0.0	1.1788	-3.6095	-3.3418	-8.0814	-0.6626	1.8894	0.0047	0.9953	Laggard-enriched	True	20000	Roseibium sediminis
167	2	0	0.3724	0.0	2.078	1.8719	-1.3626	6.6984	2.0212	0.8678	0.1323	Jumper-exclusive (low-count)	False	20000	Ruegeria pomeroyi
168	1	0	0.1862	0.0	1.3475	1.1731	-2.5121	6.1429	2.1534	0.7381	0.2619	Jumper-exclusive (low-count)	False	20000	Runella soli
169	0	2	0.0	0.3929	-2.2199	-2.0033	-6.8646	1.2017	2.0389	0.12	0.88	Laggard-exclusive (low-count)	False	20000	Salinirepens amamiensis
170	2	0	0.3724	0.0	2.0766	1.8513	-1.3277	6.7977	2.0516	0.8614	0.1386	Jumper-exclusive (low-count)	False	20000	Salipiger aestuarii
171	1	0	0.1862	0.0	1.3702	1.1934	-2.4961	6.1567	2.1763	0.7378	0.2622	Jumper-exclusive (low-count)	False	20000	Serratia ficaria
172	1	0	0.1862	0.0	1.3764	1.2005	-2.5076	6.2251	2.1757	0.7404	0.2596	Jumper-exclusive (low-count)	False	20000	Serratia ureilytica
173	1	0	0.1862	0.0	1.3537	1.183	-2.4935	6.1905	2.1741	0.7328	0.2672	Jumper-exclusive (low-count)	False	20000	Shewanella litorisediminis
174	1	0	0.1862	0.0	1.3423	1.1578	-2.545	6.1429	2.1782	0.732	0.268	Jumper-exclusive (low-count)	False	20000	Shewanella maritima
175	1	0	0.1862	0.0	1.373	1.2253	-2.5211	6.1884	2.1723	0.7395	0.2605	Jumper-exclusive (low-count)	False	20000	Siccibacter turicensis
176	1	0	0.1862	0.0	1.3677	1.222	-2.4677	6.0552	2.1481	0.739	0.261	Jumper-exclusive (low-count)	False	20000	Sphingomonas koreensis
177	1	0	0.1862	0.0	1.3386	1.1711	-2.4941	6.1247	2.16	0.7349	0.2651	Jumper-exclusive (low-count)	False	20000	Stutzerimonas kunmingensis
178	0	9	0.0	1.7682	-4.1707	-3.891	-8.777	-1.229	1.8989	0.0006	0.9994	Laggard-enriched	True	20000	Stutzerimonas stutzeri
179	0	1	0.0	0.1965	-1.5283	-1.3573	-6.5126	2.3619	2.1897	0.2366	0.7634	Laggard-exclusive (low-count)	False	20000	Tatumella terrea
180	1	0	0.1862	0.0	1.3453	1.1636	-2.4381	6.1667	2.1616	0.7337	0.2663	Jumper-exclusive (low-count)	False	20000	Thalassotalea marina
181	6	0	1.1173	0.0	3.4656	3.1886	0.4942	8.0938	1.9293	0.9923	0.0077	Jumper-enriched	True	20000	Thiohalospira halophila
182	1	0	0.1862	0.0	1.3427	1.1869	-2.475	6.1977	2.1536	0.7366	0.2634	Jumper-exclusive (low-count)	False	20000	Thiomicrorhabdus heinhorstiae
183	1	0	0.1862	0.0	1.3607	1.1922	-2.5208	6.1493	2.165	0.7393	0.2607	Jumper-exclusive (low-count)	False	20000	Trabulsiella guamensis
184	5	2	0.9311	0.3929	1.0542	1.0119	-0.951	3.333	1.0841	0.8406	0.1595	Jumper-leaning (uncertain)	False	20000	Unknown
185	1	0	0.1862	0.0	1.3921	1.2102	-2.4254	6.2841	2.1831	0.7357	0.2643	Jumper-exclusive (low-count)	False	20000	Vibrio cholerae
186	1	0	0.1862	0.0	1.3672	1.1946	-2.4559	6.1491	2.1696	0.737	0.263	Jumper-exclusive (low-count)	False	20000	Vibrio litoralis
187	1	0	0.1862	0.0	1.3575	1.1813	-2.499	6.258	2.177	0.7366	0.2634	Jumper-exclusive (low-count)	False	20000	Vibrio pelagius
188	0	1	0.0	0.1965	-1.4785	-1.3179	-6.276	2.423	2.1764	0.243	0.757	Laggard-exclusive (low-count)	False	20000	Vineibacter terrae
189	1	0	0.1862	0.0	1.364	1.1908	-2.4509	6.2346	2.1786	0.7367	0.2633	Jumper-exclusive (low-count)	False	20000	Yersinia rochesterensis
190	0	1	0.0	0.1965	-1.5067	-1.337	-6.271	2.3202	2.161	0.2391	0.761	Laggard-exclusive (low-count)	False	20000	Yersinia ruckeri
