ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
map05034	map05034	1/3	12/1042	0.0833333333333333	28.9444444444444	5.22932590429523	0.0341850439382341	0.0567555912589017	0.0119485455281898	XM_067124917.1	1
map04722	map04722	1/3	13/1042	0.0769230769230769	26.7179487179487	5.01162460876395	0.0369980972083169	0.0567555912589017	0.0119485455281898	JP353831.1	1
map04390	map04390	1/3	16/1042	0.0625	21.7083333333333	4.48342259611265	0.0454044730071214	0.0567555912589017	0.0119485455281898	JP353831.1	1
map04814	map04814	1/3	16/1042	0.0625	21.7083333333333	4.48342259611265	0.0454044730071214	0.0567555912589017	0.0119485455281898	XM_067112268.1	1
map04142	map04142	1/3	58/1042	0.0172413793103448	5.98850574712644	2.0997381684906	0.15800731928053	0.15800731928053	0.0332646987959011	XM_067124917.1	1
