ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map04518	map04518	15	-0.31105546273354	-1.33293540428721	0.155451919583218	0.466355758749653	0.427043784220906	3828	tags=60%, list=21%, signal=47%	XM_067086523.1/XM_067106316.1/XM_067131391.1/XM_067103022.1/XM_067095187.1/XM_067084533.1/XM_067095184.1/XM_067131387.1/XM_067083290.1
map03440	map03440	10	0.519660113295568	1.26740372457763	0.164971751412429	0.469076882845188	0.429535528150921	8659	tags=100%, list=48%, signal=52%	XM_067096127.1/XM_067119254.1/XM_067095973.1/XM_067110195.1/XM_067093638.1/XM_067108819.1/XM_067108820.1/XM_067119347.1/XM_067118350.1/XM_067096126.1
map05166	map05166	13	0.485175544231818	1.2670660660218	0.165405405405405	0.469076882845188	0.429535528150921	7905	tags=77%, list=44%, signal=43%	XM_067116297.1/XM_067131155.1/XM_067093132.1/XM_067116781.1/XM_067128510.1/XM_067083643.1/XM_067092541.1/XM_067129236.1/XM_067096121.1/XM_067096145.1
map04391	map04391	19	0.43818452631616	1.22752449844743	0.170655567117586	0.469076882845188	0.429535528150921	7830	tags=63%, list=43%, signal=36%	XM_067117915.1/XM_067120619.1/XM_067083472.1/XM_067127564.1/JP354480.1/XM_067083465.1/XM_067100133.1/XM_067081039.1/XM_067089467.1/XM_067085543.1/XM_067085545.1/XM_067090743.1
map04214	map04214	10	0.515211354741731	1.25655360732479	0.175141242937853	0.469076882845188	0.429535528150921	2967	tags=50%, list=16%, signal=42%	XM_067120619.1/XM_067113269.1/XM_067083472.1/JP354480.1/XM_067083465.1
map05022	map05022	38	0.385706500357315	1.20037820946622	0.176589303733602	0.469076882845188	0.429535528150921	5843	tags=39%, list=32%, signal=27%	XM_067113717.1/XM_067101362.1/XM_067085558.1/XM_067120985.1/XM_067100675.1/XM_067120977.1/XM_067098396.1/XM_067133146.1/EL695619.1/XM_067113178.1/XM_067127548.1/XM_067086629.1/JP354016.1/XM_067123807.1/XM_067114931.1
map04062	map04062	10	0.509801433564455	1.24335930190414	0.183050847457627	0.469076882845188	0.429535528150921	6684	tags=60%, list=37%, signal=38%	XM_067116297.1/XM_067110139.1/XM_067107746.1/XM_067081039.1/XM_067107745.1/XM_067129236.1
map03018	map03018	17	0.448132850217121	1.23949665705001	0.183054393305439	0.469076882845188	0.429535528150921	9348	tags=94%, list=52%, signal=45%	XM_067101230.1/XM_067082709.1/XM_067101220.1/XM_067131721.1/XM_067133612.1/XM_067114903.1/XM_067114904.1/XM_067125800.1/XM_067101125.1/XM_067087852.1/XM_067132630.1/XM_067087424.1/XM_067133613.1/XM_067101013.1/GH624830.1/XM_067132839.1
map05170	map05170	13	0.467802861847008	1.22169622702791	0.197837837837838	0.484499940914641	0.443658482480673	6684	tags=62%, list=37%, signal=39%	XM_067116297.1/XM_067104324.1/XM_067127553.1/XM_067128466.1/XM_067093144.1/XM_067123913.1/XM_067082944.1/XM_067129236.1
map05169	map05169	15	0.456803292995067	1.22735026461636	0.200426439232409	0.484499940914641	0.443658482480673	6684	tags=53%, list=37%, signal=34%	XM_067113717.1/XM_067116297.1/XM_067102568.1/XM_067100675.1/EL695619.1/XM_067102565.1/XM_067114931.1/XM_067129236.1
