ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006893	GO:0006893	23	0.492086396454884	1.41568902769208	0.0422680412371134	0.243390670761069	0.2093554971762	6681	tags=70%, list=37%, signal=44%	XM_067098487.1/XM_067131700.1/XM_067126933.1/XM_067083240.1/XM_067126931.1/XM_067107844.1/XM_067094346.1/XM_067098488.1/XM_067130584.1/XM_067130915.1/XM_067121962.1/XM_067126930.1/XM_067107838.1/XM_067089349.1/XM_067116749.1/JP353453.1
GO:0061136	GO:0061136	24	0.481733860915433	1.39482261020909	0.0423991726990693	0.243390670761069	0.2093554971762	8363	tags=79%, list=46%, signal=42%	XM_067113717.1/XM_067118081.1/XM_067100318.1/XM_067121275.1/XM_067100320.1/XM_067125641.1/XM_067100675.1/XM_067098396.1/XM_067100319.1/EL695619.1/JP354577.1/XM_067114931.1/XM_067115635.1/XM_067124116.1/XM_067109798.1/XM_067131156.1/XM_067081645.1/XM_067113715.1/XM_067109802.1
GO:1902600	GO:1902600	37	0.433299331503634	1.33732585449089	0.0435222672064777	0.248887794214991	0.214083915936607	4912	tags=35%, list=27%, signal=26%	EL609839.1/XM_067092797.1/XM_067127283.1/XM_067118063.1/XM_067117765.1/XM_067101046.1/XM_067128301.1/XM_067086768.1/XM_067118058.1/XM_067133028.1/XM_067127284.1/XM_067120115.1/XM_067127286.1
GO:0048009	GO:0048009	16	0.524575223064326	1.42044431560396	0.0443974630021142	0.252931001345378	0.217561730580536	3804	tags=50%, list=21%, signal=39%	XM_067131720.1/XM_067130639.1/XM_067130824.1/XM_067116297.1/XM_067119871.1/XM_067119872.1/XM_067087995.1/XM_067108506.1
GO:0098974	GO:0098974	11	0.576117444764462	1.4597917206676	0.0455531453362256	0.256898009856978	0.220974002039632	5268	tags=45%, list=29%, signal=32%	XM_067123144.1/XM_067123908.1/XM_067123143.1/XM_067123141.1/XM_067123140.1
GO:0016051	GO:0016051	10	0.583781648992458	1.4356394730446	0.0456062291434928	0.256898009856978	0.220974002039632	1834	tags=30%, list=10%, signal=27%	XM_067086872.1/XM_067091162.1/XM_067115637.1
GO:0006337	GO:0006337	10	0.582972342552482	1.43364922159866	0.0456062291434928	0.256898009856978	0.220974002039632	7519	tags=100%, list=42%, signal=58%	XM_067118669.1/XM_067120859.1/XM_067117548.1/XM_067120858.1/XM_067134206.1/XM_067128377.1/XM_067128387.1/XM_067128378.1/XM_067134187.1/XM_067118649.1
GO:0015986	GO:0015986	27	0.465322798323142	1.37902447504595	0.0460122699386503	0.258218111894515	0.222109504142189	8930	tags=81%, list=50%, signal=41%	EL609839.1/EL609201.1/XM_067118063.1/XM_067090219.1/XM_067101046.1/XM_067128301.1/XM_067086768.1/XM_067118058.1/XM_067120115.1/XM_067096803.1/EL609969.1/GH625164.1/XM_067111166.1/JP352607.1/EL696220.1/EL609632.1/XM_067118435.1/XM_067086766.1/XM_067131436.1/EL696108.1/EU826058.1/EL609388.1
GO:0060382	GO:0060382	11	0.573635031668154	1.45350167318127	0.0466377440347072	0.260418871133445	0.224002514433794	6795	tags=91%, list=38%, signal=57%	XM_067123535.1/XM_067094880.1/XM_067092311.1/XM_067104156.1/XM_067111875.1/JP354577.1/XM_067092317.1/XM_067123536.1/XM_067115635.1/XM_067111874.1
GO:0006270	GO:0006270	19	0.513817970284442	1.42857369785311	0.0469238790406674	0.260418871133445	0.224002514433794	8657	tags=95%, list=48%, signal=49%	XM_067089473.1/XM_067091552.1/XM_067116498.1/XM_067088444.1/XM_067126275.1/XM_067085687.1/XM_067116134.1/XM_067128026.1/XM_067131270.1/XM_067082454.1/XM_067094905.1/XM_067129250.1/XM_067102233.1/XM_067129649.1/XM_067133248.1/XM_067108054.1/XM_067101043.1/XM_067086508.1
