	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067112246.1	10.4009	10.8261	10.4843	19.0234	9.5695	9.7178	8.6864	9.9343	12.4138	15.3976	7.5612	13.4679	6.8486	10.6369	10.8899	14.6058	14.2872	13.2307	9.7889	14.6934
XM_067112248.1	13.7121	11.3756	11.8297	14.3958	11.3123	12.2016	13.4165	13.9963	16.3541	15.4328	10.3450	15.2705	7.0945	11.8671	13.0127	15.7957	10.2350	15.8361	11.2377	10.0978
XM_067112249.1	8.0040	7.7399	6.3833	9.6797	7.2345	6.4691	6.5259	5.7032	7.1347	9.6522	4.8281	8.1394	7.1949	7.5062	8.3728	7.3173	7.8682	8.2147	7.9372	8.8993
XM_067112267.1	1.4275	2.6201	1.1153	0.4029	1.3706	3.2945	2.0482	1.0392	1.3068	1.4134	1.4885	1.9599	0.9614	0.9127	2.1255	1.5266	0.4986	0.6729	0.4820	1.0209
XM_067112268.1	3.8014	4.3661	3.5226	6.9055	4.2029	2.5440	4.6044	4.7914	5.1120	2.8904	3.3248	5.1012	6.0242	4.8334	4.4546	4.6643	5.2166	6.7535	4.4111	4.8997
XM_067112269.1	7.5719	6.7079	4.3353	14.7244	5.4639	5.5397	3.5228	4.0106	6.9799	5.8178	6.0801	6.5372	5.0366	6.5672	13.0575	4.2518	6.7414	8.1839	7.3117	6.1502
XM_067112270.1	9.7344	6.6871	4.8598	8.7257	8.6508	7.8361	6.7031	4.1268	5.7065	5.1689	8.6662	7.1316	8.6259	8.8100	9.0083	8.9148	7.3819	8.6246	3.9486	9.3167
XM_067112271.1	1.3469	1.9005	1.1795	1.4300	2.1950	1.1626	0.4929	1.6295	1.3758	0.7259	0.8649	2.8359	1.5442	1.4485	2.6064	0.4992	0.6607	1.3867	0.6230	1.9958
XM_067112273.1	6.3928	7.3464	7.6934	9.9460	6.2474	7.1045	9.1733	7.6431	6.4804	7.9768	9.3202	4.6382	7.6113	3.5130	5.8815	10.1822	6.9714	6.0002	7.9239	4.9774
XM_067112274.1	22.6192	12.2125	14.8362	26.6620	12.6617	16.4360	11.3736	20.0142	18.3448	21.6681	18.0962	16.7494	17.9178	40.0945	15.3073	23.7434	47.2838	32.4738	31.1216	28.0550
XM_067112284.1	2.8566	2.8863	1.1879	4.1378	1.7051	1.5658	3.1299	2.3033	2.3954	1.9222	3.4575	2.4501	1.7179	2.0722	2.4498	4.0274	3.9135	2.9350	2.2313	3.3320
XM_067112289.1	3.6787	1.9426	1.4462	11.9627	0.3863	0.7957	0.0000	1.9623	2.2452	2.1391	2.2847	2.3234	1.8778	0.0000	11.2716	0.0000	3.3983	2.7863	27.9710	7.6932
XM_067112293.1	1.2507	1.6231	0.9242	1.1569	0.5243	2.6936	0.7842	4.6302	1.1713	0.7096	2.2552	1.5666	1.1148	0.4112	0.6342	2.2608	0.7648	1.3726	0.9779	0.8381
XM_067112297.1	1.6027	2.1017	1.6599	2.2034	1.8811	2.0204	2.3164	1.5854	1.5919	0.9016	2.0800	2.2470	2.0362	0.4530	2.2749	3.1534	1.3960	1.3895	0.5298	2.3265
XM_067112301.1	14.9672	10.3048	8.9709	12.8833	8.8889	13.6221	14.4284	10.7038	8.6158	4.7691	24.7380	7.3128	12.3585	7.3340	6.2386	9.5592	4.7906	7.8192	4.3600	9.4770
XM_067112308.1	6.3159	6.1621	5.1717	7.2354	5.0683	6.7442	5.0478	6.1471	6.4852	4.8988	6.1950	7.5544	6.6260	7.0963	6.9189	7.6504	10.0634	7.5068	7.2934	8.5621
XM_067112327.1	1.6525	0.6777	0.4747	1.6766	1.5091	0.6618	0.0139	1.3121	0.3304	0.3444	0.4268	5.6132	0.3339	0.7418	0.2821	0.7359	0.5136	1.5435	1.1331	1.8508
XM_067112335.1	1.0771	1.0963	0.2895	0.6559	0.9394	0.4711	3.6357	0.5010	3.3287	2.2230	3.0176	0.0000	0.0000	1.7822	0.4943	4.5397	3.1391	1.3225	0.8815	0.7512
XM_067112357.1	3.6992	2.3429	2.4962	2.7316	2.5843	3.1526	2.9552	2.6871	2.5075	1.6321	3.4423	4.1071	2.0187	2.5711	2.0809	3.0956	2.1716	2.2901	2.1047	2.3812
XM_067112360.1	4.6833	4.4468	2.9339	4.1037	5.7852	5.2895	5.0984	3.0863	4.1018	3.3604	6.0369	3.2061	4.5413	3.0394	3.2291	8.4590	4.2655	4.7973	2.8617	4.4116
XM_067112361.1	3.0834	1.7725	1.6242	3.7843	0.6206	2.7925	0.7238	3.3459	1.9632	1.3272	2.4850	1.8954	2.2003	4.9236	5.3240	1.6668	2.4046	2.0606	0.3836	1.7071
XM_067112362.1	2.3978	2.9816	2.5430	2.6223	2.3119	2.9352	4.1441	3.1501	2.4347	1.2490	3.8422	2.5276	3.0094	2.0539	1.6112	2.9355	1.4633	1.9088	1.3789	1.2549
XM_067112363.1	70.4740	59.0134	39.0196	69.7762	53.9594	48.0706	44.2390	46.0461	61.1643	76.4352	40.3907	56.5840	45.6382	75.6163	59.7627	76.1563	88.4513	63.8468	59.6941	78.7259
XM_067112364.1	12.0664	8.2043	15.6565	11.7789	11.5073	6.6840	7.8267	12.3597	14.4701	25.0881	7.0158	10.3548	9.4915	20.1028	21.3246	10.0697	25.9426	14.2733	17.7137	23.3982
XM_067112367.1	0.6157	1.2943	2.3914	2.6261	1.7600	1.3734	1.3120	1.3272	1.6630	0.0000	2.0856	2.8510	1.6376	2.0112	0.0000	1.8870	2.0373	0.5476	0.0000	1.7963
XM_067112368.1	4.7344	3.1139	1.6626	6.2194	2.4755	3.1136	2.0252	2.9466	2.2534	3.1559	3.6362	3.1365	4.6357	7.2001	4.0310	2.0711	3.3667	6.8557	4.1640	2.9318
XM_067112370.1	1.0714	0.2384	0.3532	0.6255	0.0820	0.2163	0.5200	1.0379	1.7550	2.9935	0.1671	0.0000	0.0000	4.0202	2.3005	1.0287	1.6071	1.8534	0.4859	0.2852
XM_067112372.1	15.9112	9.9484	6.3952	18.9336	19.5956	11.1601	3.8173	19.9495	16.6261	10.1240	9.6274	11.7093	8.3806	11.2220	11.9802	45.4818	17.8529	17.0868	6.4386	8.7254
XM_067112373.1	2.2421	1.8892	1.5520	3.0742	10.6768	0.0000	11.4905	1.5948	2.0625	2.1085	2.1310	2.3138	1.9001	2.0553	5.0942	8.3156	2.2892	2.3752	1.2642	0.0000
XM_067112375.1	3.2006	8.6399	3.9776	9.9636	7.0303	4.0411	8.4732	4.8547	6.6878	3.1111	7.4401	4.6691	19.0657	4.2552	47.2523	22.7733	25.7270	10.7235	4.7623	5.3489
XM_067112379.1	12.1045	13.5163	12.8102	15.6227	13.2809	11.9047	13.8112	12.8802	13.9488	17.5965	11.6362	14.5200	10.4461	10.9134	17.8307	15.1279	13.3246	17.2583	13.5629	14.1733
XM_067112384.1	14.0087	0.0127	3.4339	12.0651	0.4187	12.6531	0.4452	1.0691	4.2609	0.5357	5.0106	1.6740	1.1038	4.8726	0.1832	10.8877	7.0510	0.4800	2.8366	0.1963
XM_067112385.1	4.2628	13.1851	14.5164	7.0732	13.8614	3.5665	14.1191	17.1591	7.8479	11.2564	4.8035	22.7654	10.8830	5.8595	14.4206	2.9428	3.2801	14.8144	6.7435	18.6748
XM_067112386.1	1.8206	0.9158	1.0383	2.8401	1.4809	0.2011	0.6935	2.3021	1.7167	0.8581	1.1278	2.4086	0.7972	2.1347	2.0830	0.3309	0.6957	2.8816	1.0953	1.6835
XM_067112388.1	12.0299	13.2962	21.0985	10.9984	13.2392	16.0132	13.3716	13.6634	16.7225	14.4535	13.1366	9.9613	7.6003	13.6886	8.1828	12.1837	8.2830	5.5454	3.6967	13.5683
XM_067112389.1	2.1607	1.9244	1.0987	1.6652	1.5097	1.5959	2.1243	1.6131	1.0976	3.1339	0.5473	2.1213	2.0270	1.5905	2.5632	2.0589	0.7790	2.2279	1.2718	0.8659
XM_067112390.1	3.0884	8.7236	4.8568	1.8933	7.9649	4.1555	6.1745	7.3865	2.8675	12.4498	2.7910	7.6287	6.8566	3.8101	5.0283	0.7727	0.8843	10.0548	12.8739	4.9370
XM_067112392.1	2.8501	0.6123	2.4887	2.9174	1.2681	1.3397	1.3665	1.3794	2.3545	1.7901	1.1473	2.6712	0.7495	4.9412	0.7689	1.2304	2.0151	2.1804	1.2618	2.7989
XM_067112393.1	1.8968	2.1561	1.4440	0.7943	2.3261	2.1766	1.7274	1.5919	2.0016	0.8892	1.5943	1.2595	2.9554	0.7490	2.0659	1.4525	0.8751	0.8384	2.2031	0.6732
XM_067112400.1	5.6990	3.4174	2.7314	8.1958	1.7943	3.7711	3.7865	4.0371	4.8167	2.4774	5.1607	5.3312	5.1478	5.2293	12.7427	9.0907	16.2292	6.2393	5.7058	6.4007
XM_067112401.1	4.5122	7.1694	4.9752	6.2171	5.5713	5.6494	5.6813	6.4484	5.4332	6.9448	4.8912	6.6907	3.9021	3.5553	4.5444	6.2762	4.0632	6.1857	4.4038	6.4722
XM_067112403.1	17.9555	16.5642	4.8107	3.4723	17.0743	22.0900	7.9809	9.4824	12.8473	14.6371	12.7979	11.3186	12.5933	17.1939	16.4679	14.4235	16.9132	16.2124	32.7779	12.2439
XM_067112411.1	0.5972	0.8539	0.6498	0.2869	1.2523	0.5268	1.0976	1.3151	0.8347	1.6444	0.2544	0.6882	0.4329	0.8554	0.2404	1.7528	0.4175	0.8616	0.3250	0.2156
XM_067112419.1	0.4921	0.5563	0.8464	0.4548	0.6814	0.6566	0.7277	0.6932	0.8558	0.2954	0.0000	1.6221	1.0676	0.5180	0.4436	0.2992	0.0772	0.8998	0.7421	0.5110
XM_067112420.1	1.9257	1.8855	2.0179	1.3590	2.0007	2.4104	3.5646	1.2406	1.4798	3.0355	1.3306	2.8961	1.6740	1.7292	1.4193	1.4703	0.6645	3.2019	1.7115	2.5646
XM_067112421.1	0.8263	1.0422	0.8492	1.4065	0.2151	0.6656	1.1521	1.5258	0.8249	0.6692	1.1478	0.9839	0.7720	1.0271	0.6880	0.4444	0.6573	0.9353	0.5271	1.2004
XM_067112426.1	1.8290	0.9855	0.5863	1.4499	0.7571	0.7111	1.4482	1.0974	1.1008	1.6468	0.4988	1.5770	0.8330	1.1008	1.3270	1.6002	1.0152	1.7346	1.2037	1.2977
XM_067112427.1	0.0672	4.5897	0.5156	1.5483	1.3141	0.9966	2.9849	0.9914	2.3888	0.1602	1.4857	5.4308	1.3424	0.2447	1.4832	1.3832	3.4346	3.2326	6.4491	4.0672
