	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
MK468652.1	863.80	5185.57	799.09	25.72	245.13	50.50	233.44	68.67	231.28	88.27	162.76	169.71	124.50	73.71	113.10	168.22	360.55	1433.34	41.12	149.65
MN508362.1	3977.16	4668.44	2552.58	1752.76	2735.05	2363.73	1362.27	1494.49	1143.87	694.36	1298.82	676.22	1234.38	677.09	1190.48	4059.00	4540.32	3589.51	616.65	3302.88
MT786654.1	258.46	326.98	148.75	128.03	221.00	186.86	240.78	73.83	181.27	62.78	292.12	159.78	150.99	113.34	106.08	204.05	167.48	223.30	51.29	137.71
MT786656.1	917.23	1009.26	505.71	2165.27	7946.60	3823.39	2875.32	2904.30	575.26	438.12	1923.31	563.28	569.85	2578.47	2863.52	8123.92	927.91	1323.36	1889.18	1596.36
MT786657.1	2583.66	2294.09	1045.18	2590.99	6867.84	4718.59	4324.09	3912.34	2440.38	2811.30	8227.47	2658.51	3074.11	691.84	2235.00	16385.31	7739.04	1857.35	788.79	1689.38
MT810749.1	40.15	440.57	914.45	22451.29	16117.97	1013.09	3838.94	6020.60	1019.81	764.75	5.02	641.75	260.45	13472.53	19759.20	0.00	789.62	876.62	19358.70	2089.88
MT968998.1	1451.44	1557.34	1217.39	1799.54	1477.79	843.18	574.10	736.97	803.52	1140.69	2338.43	1850.55	1881.82	1994.60	1491.53	5198.38	882.69	1389.86	1632.90	2160.82
MW267825.1	410.13	367.87	304.14	672.00	464.15	241.60	209.18	264.50	1016.99	598.66	1369.73	1006.12	935.55	516.25	648.95	2017.00	682.41	356.15	401.38	504.91
MW879707.1	229.33	282.47	0.00	28.79	0.00	111.03	72.36	20.31	23.80	88.42	155.06	96.81	0.00	13.44	82.38	31.48	59.58	3.27	13.43	64.41
MZ501612.1	163.42	135.16	99.14	338.07	657.27	592.48	330.84	433.93	106.20	76.39	234.37	74.70	146.46	188.38	241.03	230.36	316.93	122.61	110.20	252.75
MZ647492.1	2410.21	3106.94	2455.91	1.00	2.00	0.00	0.00	1.00	49.00	17.00	7444.96	38.00	495.98	2.00	0.00	26.00	2312.21	1781.79	0.00	0.00
OL743530.1	1287.05	2482.36	391.35	357.02	3468.92	297.04	1588.87	405.79	751.48	237.14	921.05	2144.88	901.06	676.96	317.48	1448.02	1786.10	3504.38	1185.65	269.01
OL840042.1	32.76	0.00	4.05	3.00	0.00	0.00	1.00	0.00	111.14	150.86	353.06	205.99	510.49	0.00	0.00	2.00	136.18	28.71	0.00	2.00
