	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067105963.1	5.5737	6.6510	3.2599	1.7493	0.5298	0.8114	1.1161	0.5807	5.2295	6.0499	8.5793	6.0530	5.4727	0.9170	1.2122	1.6707	1.3855	5.2342	0.5735	1.0825
XM_067105972.1	6.6334	5.9967	10.6420	0.5827	0.1424	0.1228	0.2523	0.2241	9.2738	9.9526	8.8434	10.3507	7.6482	0.4007	1.1440	0.4618	4.4797	5.6136	0.1926	0.5741
XM_067105973.1	4.7884	3.7201	1.7117	2.8092	4.6788	2.9870	3.3771	2.2811	20.9300	32.0234	25.5227	48.6127	31.8813	2.7902	2.5984	5.8012	10.3554	8.9454	2.4797	3.5514
XM_067105975.1	7.1419	4.7879	4.2715	38.1844	23.1930	26.8225	27.6568	34.1740	7.8648	6.6885	5.0089	7.9988	6.4595	25.2881	28.2500	6.6740	11.1846	9.2957	30.4501	24.8768
XM_067105976.1	0.0000	0.0000	0.0000	12.9228	1.2208	6.6291	4.2399	9.4860	0.0000	0.0000	0.0000	0.0000	0.0000	11.9946	6.7583	0.0000	0.3908	0.0000	4.3648	2.2582
XM_067105977.1	0.0000	0.0000	0.0000	0.1819	3.1145	1.8896	5.9415	5.9338	0.2215	0.0000	0.0000	0.0000	0.0000	19.8751	4.0806	0.1679	0.0000	0.0000	8.3956	8.6873
XM_067105982.1	5.3147	2.6496	2.2635	3.6910	2.3366	2.0812	2.2483	2.0676	40.7870	57.3432	28.0676	37.0145	32.1487	4.3189	2.6626	4.3758	14.2863	5.3909	2.4714	3.3087
XM_067105987.1	10.4132	7.9746	9.0500	8.0780	9.4967	7.5353	7.1426	7.5341	12.1377	13.1159	15.2248	20.8060	12.7279	8.2642	8.1592	8.4157	16.7564	14.5915	8.2813	8.2713
XM_067105988.1	8.9277	13.9129	9.9533	5.2013	7.8343	6.9246	7.3669	6.3171	12.0702	12.6900	11.8595	20.3421	17.3322	5.0044	6.9024	8.0226	7.3390	15.6050	8.3250	10.8842
XM_067105995.1	0.8615	0.0000	0.7855	0.0000	0.7256	1.1064	0.0000	0.8837	29.7711	58.9865	22.3333	42.5940	16.8738	0.0000	0.9181	2.3422	5.2329	1.7310	0.4061	0.0000
XM_067105996.1	1.2559	0.6083	0.6804	0.5788	0.6042	0.0000	0.4157	0.2187	1.7228	7.9353	2.8216	11.0868	12.5215	0.0000	0.1770	0.0000	3.1603	1.0253	2.1846	2.1705
XM_067105998.1	1.9083	2.1030	2.6779	2.1545	1.5582	1.1844	1.2379	2.3772	3.9585	3.2168	4.9434	4.2247	3.8512	2.8449	1.0834	1.9719	2.3742	3.6942	1.8097	0.3104
XM_067106000.1	3.9009	4.8977	5.3655	0.5856	0.1363	0.5230	0.2184	0.2804	13.4056	4.3748	33.3076	14.0021	6.3252	0.0740	0.0000	4.8909	1.6533	4.2228	0.0672	1.0519
XM_067106005.1	4.4667	3.5113	2.4648	54.2873	56.0342	83.8458	76.2358	71.7040	32.2404	19.9314	44.3803	27.2900	32.4871	28.0269	29.9432	224.2334	22.9991	8.7071	29.1054	91.8455
XM_067106006.1	2.5743	1.1091	1.0445	2.4022	5.5550	1.8573	1.2856	3.0496	5.3108	3.2372	5.2345	5.1665	4.3999	2.8189	2.8785	2.4533	6.1790	3.4676	0.0000	1.9872
XM_067106009.1	0.6420	0.9555	0.1992	0.3361	0.4501	0.0000	0.7336	0.5950	2.6395	3.0011	2.4449	3.9126	2.6457	0.0000	0.6042	0.3725	1.5801	0.7538	0.3472	0.3595
XM_067106014.1	1.1367	1.1440	0.0000	0.4584	0.1070	0.7228	0.7571	0.4835	10.8214	14.7986	1.5046	15.6610	10.5716	0.0000	0.3482	0.1392	5.3396	1.0736	0.0000	0.0000
XM_067106104.1	6.8434	4.2550	3.5851	3.3047	2.0346	1.7498	1.6188	1.8412	38.2103	36.9139	26.9527	33.9119	26.8041	2.4746	3.4941	3.9233	11.1084	5.3580	1.3154	3.8688
XM_067106120.1	2.9341	4.2340	1.9618	1.0905	0.0000	1.7700	1.1187	0.4140	0.0000	3.2934	2.2437	2.6157	3.9739	0.0000	0.7391	0.0000	3.2426	3.7817	0.7494	0.0000
XM_067106131.1	0.0000	0.0000	0.7376	391.2454	2185.3650	460.4322	762.5059	939.2810	1.5060	0.0000	0.0000	0.0000	0.0000	332.4221	102.0838	120.7998	0.0000	0.0979	99.4265	1520.1408
XM_067106140.1	1.7911	2.0046	0.6442	3.2150	1.0687	1.4333	2.3232	1.0716	1.3337	0.1867	1.6318	1.0155	1.1935	1.9450	3.1601	2.7193	1.1339	0.9813	1.2762	1.5353
XM_067106143.1	0.4943	0.0000	0.3127	0.6810	0.1917	0.1877	0.0000	1.1670	23.0799	4.7854	25.9906	14.9130	10.5769	0.0000	0.0000	0.2459	0.0000	0.2511	0.0000	0.0000
XM_067106149.1	1.9403	0.4527	0.6665	0.9688	0.6143	0.4833	0.5812	0.4938	9.3405	14.8638	6.8690	7.5483	8.1757	0.6156	0.7822	0.6431	4.4614	1.3324	0.4418	0.6648
XM_067106151.1	19.6737	13.9719	9.9661	4.3490	3.5207	3.3674	3.5361	3.3275	15.3345	9.9084	14.1016	13.3201	15.8102	2.5531	2.9791	5.9705	19.9879	15.2690	1.3842	2.3200
