pathway_id	pathway_name	source	jumper_idx	laggard_idx	log2_ratio_idx	n_contributing_taxa_jumper	n_contributing_taxa_laggard	top_jumper_taxa	top_laggard_taxa	method_note
map00074	Mycolic acid biosynthesis	KEGG_GENOME	0.0004169127061000862	0.001455498016676104	-1.8012302092182813	79	110	Klebsiella variicola (5.15e-05); Flavobacterium jumunjinense (3.83e-05); Pectobacterium cacticida (3.57e-05); Citrobacter koseri (2.18e-05); Arcticibacterium luteifluviistationis (1.94e-05)	Cutibacterium acnes (6.48e-04); Exiguobacterium aestuarii (6.58e-05); Cutibacterium namnetense (6.40e-05); Flavobacterium haoranii (6.03e-05); Moraxella osloensis (5.68e-05)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00100	Steroid biosynthesis	KEGG_GENOME	1.4786442366085212e-05	4.8603847614676264e-05	-1.6517659483179281	8	14	Methylococcus capsulatus (6.05e-06); Ruegeria pomeroyi (2.99e-06); Exiguobacterium aestuarii (1.05e-06); Alcanivorax jadensis (1.03e-06); Mucilaginibacter koreensis (9.99e-07)	Exiguobacterium aestuarii (2.19e-05); Brevundimonas aurantiaca (5.68e-06); Lysobacter brunescens (4.48e-06); Cupriavidus necator (3.90e-06); Roseibium sediminis (3.57e-06)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00120	Primary bile acid biosynthesis	KEGG_GENOME	1.5676483817972397e-05	9.867143248596351e-05	-2.579364929813496	14	39	Ralstonia pickettii (2.71e-06); Sphingomonas koreensis (1.67e-06); Marivita roseacus (1.51e-06); Ruegeria pomeroyi (1.49e-06); Pelagerythrobacter marensis (1.21e-06)	Cupriavidus necator (1.56e-05); Stutzerimonas stutzeri (1.33e-05); Pseudomonas azotoformans (7.15e-06); Brevundimonas aurantiaca (5.68e-06); Janibacter endophyticus (4.79e-06)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00121	Secondary bile acid biosynthesis	KEGG_GENOME	1.125201035715929e-05	9.914445149770198e-06	0.1667797007375191	9	5	Salipiger aestuarii (2.58e-06); Pseudoalteromonas fenneropenaei (1.67e-06); Marivita roseacus (1.51e-06); Ruegeria pomeroyi (1.49e-06); Pseudoalteromonas arabiensis (8.35e-07)	Stutzerimonas stutzeri (6.64e-06); Acinetobacter chinensis (1.03e-06); Pseudomonas phenolilytica (8.07e-07); Marivita roseacus (7.91e-07); Pseudomonas psychrophila (6.44e-07)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG_GENOME	0.0025052019169713746	0.005766255900870264	-1.202382385287483	77	111	Klebsiella variicola (4.29e-04); Pectobacterium cacticida (2.62e-04); Citrobacter koseri (1.74e-04); Flavobacterium jumunjinense (1.15e-04); Pseudoalteromonas phenolica (1.12e-04)	Cutibacterium acnes (1.04e-03); Moraxella osloensis (4.55e-04); Pectobacterium cacticida (2.26e-04); Exiguobacterium aestuarii (2.19e-04); Pseudomonas oryzihabitans (2.00e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00140	Steroid hormone biosynthesis	KEGG_GENOME	5.010304526309109e-06	1.58008530183151e-05	-1.4830244883793786	5	5	Pseudoalteromonas fenneropenaei (1.67e-06); Pseudoalteromonas arabiensis (8.35e-07); Pseudoalteromonas peptidolytica (8.35e-07); Pseudoalteromonas telluritireducens (8.35e-07); Pseudoalteromonas translucida (8.35e-07)	Luminiphilus syltensis (5.57e-06); Pseudomonas marincola (4.39e-06); Exiguobacterium alkaliphilum (3.37e-06); Paraburkholderia pallida (1.82e-06); Pseudomonas psychrophila (6.44e-07)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00190	Oxidative phosphorylation	KEGG_GENOME	0.006835083096712258	0.021746959588819243	-1.6696382134319894	79	111	Klebsiella variicola (7.90e-04); Arcticibacterium luteifluviistationis (5.71e-04); Flavobacterium jumunjinense (5.11e-04); Pectobacterium cacticida (5.00e-04); Citrobacter koseri (3.41e-04)	Cutibacterium acnes (6.22e-03); Moraxella osloensis (2.16e-03); Flavobacterium haoranii (8.04e-04); Cutibacterium namnetense (6.15e-04); Exiguobacterium aestuarii (6.14e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00195	Photosynthesis	KEGG_GENOME	0.0013865479488676703	0.0038443704883425306	-1.470584976749439	78	111	Arcticibacterium luteifluviistationis (1.55e-04); Klebsiella variicola (1.37e-04); Flavobacterium jumunjinense (1.02e-04); Pectobacterium cacticida (9.52e-05); Pseudoalteromonas phenolica (6.42e-05)	Cutibacterium acnes (1.04e-03); Moraxella osloensis (4.55e-04); Exiguobacterium aestuarii (1.76e-04); Flavobacterium haoranii (1.61e-04); Pseudomonas oryzihabitans (1.07e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00220	Arginine biosynthesis	KEGG_GENOME	0.0028807652340624196	0.008800577424187708	-1.6108092979461353	79	111	Klebsiella variicola (4.64e-04); Pectobacterium cacticida (2.50e-04); Pseudoalteromonas phenolica (1.60e-04); Citrobacter koseri (1.60e-04); Arcticibacterium luteifluviistationis (1.35e-04)	Cutibacterium acnes (2.07e-03); Moraxella osloensis (6.25e-04); Exiguobacterium aestuarii (4.17e-04); Pseudomonas oryzihabitans (3.47e-04); Pseudomonas alkylphenolica (2.63e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00230	Purine metabolism	KEGG_GENOME	0.00866760123361801	0.02324307023529545	-1.422991595171641	79	111	Klebsiella variicola (1.36e-03); Pectobacterium cacticida (7.61e-04); Citrobacter koseri (5.00e-04); Pseudoalteromonas phenolica (4.09e-04); Flavobacterium jumunjinense (3.96e-04)	Cutibacterium acnes (5.31e-03); Moraxella osloensis (1.87e-03); Exiguobacterium aestuarii (1.01e-03); Pseudomonas oryzihabitans (9.22e-04); Pectobacterium cacticida (6.58e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
