ko	ko_name	jumper_idx	laggard_idx	log2_ratio_idx	source
ko:K00002		1.8868994942611148e-05	1.2849424024568099e-05	0.5206929187072333	KEGG_GENOME
ko:K00003		2.9891996081171906e-05	0.00037635998626049194	-3.6106364548629415	KEGG_GENOME
ko:K00004		1.0087118202017749e-05	7.502917380893222e-05	-2.777668689253393	KEGG_GENOME
ko:K00005		9.258069679895961e-05	9.513346298606116e-05	-0.03882773347128349	KEGG_GENOME
ko:K00007		3.764600684028231e-05	1.1214313342726948e-05	1.661746591825236	KEGG_GENOME
ko:K00008		1.5226069941163709e-05	0.0002890691429379538	-4.160011314992685	KEGG_GENOME
ko:K00009		6.86523526495059e-05	6.914135438990973e-05	-0.010093204884374797	KEGG_GENOME
ko:K00010		9.77456451644852e-05	0.00024009442492819348	-1.2878092608077498	KEGG_GENOME
ko:K00012		0.000160060469290979	0.0004958600085108838	-1.6252369841061458	KEGG_GENOME
ko:K00013		0.0001576628514291203	0.0004720248042882706	-1.5759514551164573	KEGG_GENOME
ko:K00014		0.000132203221686555	0.0003336848644781039	-1.3291743329919938	KEGG_GENOME
ko:K00015		1.8202248622368288e-05	0.00016310128021974833	-3.0952393254616832	KEGG_GENOME
ko:K00016		5.024610874191108e-05	0.0004857364099516518	-3.2476263322879957	KEGG_GENOME
ko:K00018		6.356804978050547e-05	0.00023304321887504035	-1.857882607717761	KEGG_GENOME
ko:K00019		4.9703927246000713e-05	0.00020851838980541853	-2.046907477563176	KEGG_GENOME
ko:K00020		8.379930834809454e-05	0.00023384028879021857	-1.4695555330861259	KEGG_GENOME
ko:K00021		3.5139601486669508e-06	7.367899095148313e-07	1.3779704325539355	KEGG_GENOME
ko:K00023		2.2750655504860347e-05	0.0001324710635300437	-2.4904877634547553	KEGG_GENOME
ko:K00024		0.00014513473511327998	0.0003975198954500557	-1.4473526136666854	KEGG_GENOME
ko:K00027		0.00013174466391414877	0.00040741765098061065	-1.6213913493424326	KEGG_GENOME
ko:K00029		0.00013078847027046806	0.0002809750891764304	-1.0973435553843713	KEGG_GENOME
ko:K00030		2.207061366116633e-05	2.7178591256525324e-05	-0.2885431090792652	KEGG_GENOME
ko:K00031		0.0001726574688232387	0.0005562165802218137	-1.6819937257612265	KEGG_GENOME
ko:K00032		3.2297237940211355e-06	6.236290277127599e-05	-3.9050030676114367	KEGG_GENOME
ko:K00033		0.00012254912737186212	0.000291817432261835	-1.2449166230134985	KEGG_GENOME
ko:K00034		3.2410102400843586e-05	0.00013868259471848705	-2.0637959539654966	KEGG_GENOME
ko:K00035		3.343557958122036e-06	2.74661991118838e-05	-2.7123006798612335	KEGG_GENOME
ko:K00036		0.00012461765073493926	0.00045174366100625397	-1.8496552478935595	KEGG_GENOME
ko:K00038		5.010304526309109e-06	1.0229139493537687e-05	-0.9017373805435842	KEGG_GENOME
ko:K00039		1.0331880058778034e-05	6.964979015208627e-06	0.5086447709418673	KEGG_GENOME
ko:K00040		7.932949266693549e-05	0.0002160253514991442	-1.4338619087283009	KEGG_GENOME
ko:K00041		0.0001036391530287126	3.995824307771205e-05	1.353197031795035	KEGG_GENOME
ko:K00042		7.030756434543683e-05	0.0001674651060680211	-1.2403227672493915	KEGG_GENOME
ko:K00043		1.3527882318246136e-06	2.49794820794911e-05	-3.4649292914653653	KEGG_GENOME
ko:K00045		2.6654300956872e-05	9.331682008525856e-05	-1.770011204131121	KEGG_GENOME
ko:K00046		5.5689171274117523e-05	3.617836072859034e-05	0.6086100186577994	KEGG_GENOME
ko:K00048		4.160847868204877e-05	1.9641343836064046e-05	1.0456036424337483	KEGG_GENOME
ko:K00052		0.00014835328066322868	0.00030715732940697876	-1.0449381775400717	KEGG_GENOME
ko:K00053		0.00015965070261326228	0.00046589580708060853	-1.5391733421176617	KEGG_GENOME
ko:K00054		2.514149811364297e-05	3.368495274729239e-05	-0.407968097855747	KEGG_GENOME
ko:K00055		2.0239737637011213e-05	5.32447328321818e-05	-1.352717113135315	KEGG_GENOME
ko:K00057		0.00015416259936539353	0.00046099133829849166	-1.574084953379439	KEGG_GENOME
ko:K00058		0.00026770984847381506	0.0006043542200791819	-1.171730376981534	KEGG_GENOME
ko:K00059		0.0005756513621896785	0.0015353006580968197	-1.4136893347725303	KEGG_GENOME
ko:K00060		8.000003978447912e-05	0.0002434330564798932	-1.5934448828981678	KEGG_GENOME
ko:K00064		1.9506572008219236e-05	6.50834717897137e-05	-1.6882031396901176	KEGG_GENOME
ko:K00065		0.00012384340567792216	6.0794693556355475e-05	1.0145647578216068	KEGG_GENOME
ko:K00066		7.528140427116063e-06	9.28277106306481e-05	-3.4597109650877798	KEGG_GENOME
ko:K00067		9.732688017245054e-05	0.0003338424683065691	-1.7678247442650108	KEGG_GENOME
ko:K00068		5.288141531729876e-05	1.8574011084036214e-05	1.460848325265237	KEGG_GENOME
ko:K00073		3.318998581962146e-06	4.467101270972616e-06	-0.3400792569714633	KEGG_GENOME
ko:K00074		0.00013557621331127488	0.00031769634181253765	-1.2224762194335492	KEGG_GENOME
ko:K00075		0.00015763474214526633	0.0004697652095220997	-1.5692989401078485	KEGG_GENOME
ko:K00076		9.9636626888109e-06	9.914445149770198e-06	0.006491056704313927	KEGG_GENOME
ko:K00077		0.00018697086913703926	0.0005033042444493979	-1.4237852707440248	KEGG_GENOME
