gene	module
XM_067085741.1	M6
XM_067085742.1	M7
XM_067085745.1	M7
XM_067085746.1	M4
XM_067085747.1	M4
XM_067085748.1	M2
XM_067085752.1	M1
XM_067085755.1	M1
XM_067085758.1	M5
XM_067085770.1	M1
XM_067085773.1	M1
XM_067085777.1	M5
XM_067085778.1	M7
XM_067085780.1	M2
XM_067085784.1	M1
XM_067085785.1	M1
XM_067085786.1	M1
XM_067085790.1	M1
XM_067085791.1	M2
XM_067085792.1	M1
XM_067085793.1	M1
XM_067085794.1	M12
XM_067085795.1	M3
XM_067085796.1	M1
XM_067085797.1	M1
XM_067085798.1	M1
XM_067085802.1	M2
XM_067085806.1	M1
XM_067085807.1	M2
XM_067085811.1	M1
XM_067085814.1	M6
XM_067085818.1	M2
XM_067085819.1	M1
XM_067085822.1	M1
XM_067085826.1	M1
XM_067085875.1	M3
XM_067085880.1	M1
XM_067085881.1	M1
XM_067085886.1	M1
XM_067085892.1	M2
XM_067085893.1	M1
XM_067085894.1	M1
XM_067085896.1	M1
XM_067085897.1	M1
XM_067085910.1	M1
XM_067085911.1	M4
XM_067085913.1	M3
XM_067085916.1	M1
XM_067085919.1	M1
XM_067085922.1	M1
XM_067085934.1	M7
XM_067085935.1	M7
XM_067085936.1	M1
XM_067085949.1	M10
XM_067085950.1	M7
XM_067085959.1	M6
XM_067085960.1	M4
XM_067085961.1	M2
XM_067085962.1	M1
XM_067085968.1	M1
XM_067085977.1	M2
XM_067085978.1	M0
XM_067085979.1	M6
XM_067085980.1	M2
XM_067085981.1	M2
XM_067085984.1	M1
XM_067085987.1	M3
XM_067085988.1	M1
XM_067085989.1	M1
XM_067085990.1	M1
XM_067086005.1	M12
XM_067086009.1	M3
XM_067086021.1	M4
XM_067086026.1	M3
XM_067086028.1	M1
XM_067086029.1	M1
XM_067086030.1	M6
XM_067086042.1	M10
XM_067086055.1	M7
XM_067086057.1	M9
XM_067086059.1	M1
XM_067086061.1	M1
XM_067086069.1	M3
XM_067086084.1	M3
XM_067086087.1	M6
XM_067086088.1	M2
XM_067086089.1	M3
XM_067086090.1	M1
XM_067086091.1	M1
XM_067086092.1	M1
XM_067086093.1	M1
XM_067086109.1	M1
XM_067086115.1	M2
XM_067086116.1	M7
XM_067086117.1	M1
XM_067086119.1	M1
XM_067086120.1	M1
XM_067086121.1	M2
XM_067086122.1	M1
XM_067086125.1	M1
XM_067086130.1	M1
XM_067086131.1	M1
XM_067086139.1	M9
XM_067086140.1	M2
XM_067086144.1	M6
XM_067086148.1	M2
XM_067086154.1	M3
XM_067086156.1	M1
XM_067086163.1	M1
XM_067086165.1	M6
XM_067086166.1	M6
XM_067086167.1	M6
XM_067086169.1	M6
XM_067086170.1	M6
XM_067086172.1	M6
XM_067086179.1	M6
XM_067086180.1	M6
XM_067086181.1	M4
XM_067086183.1	M1
XM_067086184.1	M1
XM_067086185.1	M12
XM_067086186.1	M6
XM_067086191.1	M1
XM_067086192.1	M1
XM_067086193.1	M1
XM_067086197.1	M6
XM_067086198.1	M1
XM_067086200.1	M1
XM_067086201.1	M4
XM_067086203.1	M6
XM_067086208.1	M6
XM_067086209.1	M5
XM_067086212.1	M1
XM_067086215.1	M4
XM_067086221.1	M3
XM_067086222.1	M5
XM_067086225.1	M1
XM_067086227.1	M1
XM_067086231.1	M1
XM_067086235.1	M2
XM_067086237.1	M2
XM_067086238.1	M2
XM_067086242.1	M4
XM_067086243.1	M1
XM_067086244.1	M1
XM_067086245.1	M1
XM_067086246.1	M1
XM_067086247.1	M1
XM_067086248.1	M1
XM_067086250.1	M2
XM_067086255.1	M1
XM_067086261.1	M4
XM_067086262.1	M5
XM_067086263.1	M5
XM_067086266.1	M2
XM_067086267.1	M2
XM_067086268.1	M2
XM_067086269.1	M4
XM_067086270.1	M2
XM_067086271.1	M2
XM_067086272.1	M2
XM_067086277.1	M1
XM_067086293.1	M2
XM_067086294.1	M2
XM_067086295.1	M1
XM_067086297.1	M1
XM_067086298.1	M6
XM_067086299.1	M1
XM_067086302.1	M4
XM_067086304.1	M1
XM_067086307.1	M1
XM_067086309.1	M1
XM_067086311.1	M3
XM_067086312.1	M4
XM_067086313.1	M2
XM_067086314.1	M6
XM_067086315.1	M2
XM_067086316.1	M4
XM_067086317.1	M8
XM_067086320.1	M2
XM_067086321.1	M10
XM_067086322.1	M6
XM_067086323.1	M4
XM_067086333.1	M1
XM_067086339.1	M8
XM_067086340.1	M1
XM_067086342.1	M2
XM_067086344.1	M2
XM_067086345.1	M1
XM_067086366.1	M8
XM_067086388.1	M1
XM_067086412.1	M5
XM_067086416.1	M2
XM_067086417.1	M0
XM_067086419.1	M1
XM_067086420.1	M3
XM_067086421.1	M1
XM_067086424.1	M3
XM_067086427.1	M2
XM_067086429.1	M2
XM_067086430.1	M2
XM_067086431.1	M2
XM_067086432.1	M1
XM_067086439.1	M1
XM_067086444.1	M1
XM_067086447.1	M1
XM_067086454.1	M1
XM_067086465.1	M4
XM_067086475.1	M3
XM_067086478.1	M2
XM_067086479.1	M2
XM_067086485.1	M2
XM_067086488.1	M5
XM_067086492.1	M1
XM_067086499.1	M2
XM_067086500.1	M2
XM_067086501.1	M2
XM_067086503.1	M2
XM_067086504.1	M1
XM_067086508.1	M1
XM_067086519.1	M1
XM_067086522.1	M1
XM_067086523.1	M5
XM_067086547.1	M2
XM_067086569.1	M1
XM_067086576.1	M1
XM_067086586.1	M1
XM_067086587.1	M1
XM_067086589.1	M5
XM_067086590.1	M1
XM_067086599.1	M6
XM_067086600.1	M1
XM_067086601.1	M1
XM_067086602.1	M8
XM_067086603.1	M8
XM_067086608.1	M0
XM_067086609.1	M2
XM_067086625.1	M2
XM_067086629.1	M1
XM_067086636.1	M1
XM_067086637.1	M1
XM_067086639.1	M1
XM_067086640.1	M3
XM_067086643.1	M2
XM_067086646.1	M1
XM_067086649.1	M1
XM_067086652.1	M3
XM_067086657.1	M5
XM_067086658.1	M1
XM_067086661.1	M2
XM_067086662.1	M1
XM_067086663.1	M1
XM_067086668.1	M1
XM_067086670.1	M1
XM_067086671.1	M1
XM_067086675.1	M2
XM_067086678.1	M1
XM_067086680.1	M1
XM_067086681.1	M2
XM_067086682.1	M1
XM_067086683.1	M1
XM_067086686.1	M1
XM_067086688.1	M1
XM_067086693.1	M3
XM_067086696.1	M1
XM_067086698.1	M1
XM_067086701.1	M1
XM_067086716.1	M2
XM_067086719.1	M2
XM_067086720.1	M8
XM_067086723.1	M1
XM_067086724.1	M1
XM_067086725.1	M1
XM_067086726.1	M1
XM_067086752.1	M1
XM_067086755.1	M1
XM_067086756.1	M2
XM_067086757.1	M1
XM_067086763.1	M3
XM_067086766.1	M1
XM_067086768.1	M1
XM_067086782.1	M7
XM_067086790.1	M12
XM_067086791.1	M3
XM_067086797.1	M2
XM_067086798.1	M3
XM_067086822.1	M1
XM_067086830.1	M9
XM_067086831.1	M1
XM_067086832.1	M2
XM_067086833.1	M2
XM_067086835.1	M5
XM_067086856.1	M2
XM_067086867.1	M17
XM_067086872.1	M1
XM_067086874.1	M1
XM_067086877.1	M5
XM_067086879.1	M7
XM_067086913.1	M2
XM_067086923.1	M1
XM_067086925.1	M1
XM_067086926.1	M1
XM_067086940.1	M3
XM_067086947.1	M2
XM_067086950.1	M5
XM_067086961.1	M15
XM_067086963.1	M1
XM_067086964.1	M9
XM_067086971.1	M1
XM_067086973.1	M1
XM_067086974.1	M1
XM_067086975.1	M1
XM_067086977.1	M3
XM_067086980.1	M1
XM_067086985.1	M1
XM_067086986.1	M1
XM_067086987.1	M1
XM_067086991.1	M1
XM_067086992.1	M1
XM_067086993.1	M1
XM_067086994.1	M7
XM_067086995.1	M7
XM_067086996.1	M0
XM_067087001.1	M1
XM_067087004.1	M2
XM_067087012.1	M2
XM_067087013.1	M1
XM_067087014.1	M1
XM_067087015.1	M1
XM_067087037.1	M2
XM_067087038.1	M2
XM_067087041.1	M1
XM_067087046.1	M1
XM_067087054.1	M2
XM_067087057.1	M7
XM_067087058.1	M1
XM_067087059.1	M1
XM_067087062.1	M1
XM_067087065.1	M1
XM_067087067.1	M2
XM_067087068.1	M1
XM_067087076.1	M1
XM_067087078.1	M1
XM_067087079.1	M1
XM_067087083.1	M1
XM_067087085.1	M1
XM_067087086.1	M2
XM_067087087.1	M1
XM_067087088.1	M1
XM_067087089.1	M1
XM_067087090.1	M1
XM_067087091.1	M1
XM_067087100.1	M0
XM_067087102.1	M1
XM_067087104.1	M1
XM_067087105.1	M1
XM_067087108.1	M1
XM_067087111.1	M7
XM_067087114.1	M1
XM_067087115.1	M1
XM_067087117.1	M1
XM_067087121.1	M1
XM_067087131.1	M1
XM_067087132.1	M1
XM_067087133.1	M1
XM_067087139.1	M2
XM_067087140.1	M2
XM_067087143.1	M2
XM_067087147.1	M1
XM_067087148.1	M9
XM_067087150.1	M1
XM_067087160.1	M1
XM_067087163.1	M4
XM_067087171.1	M1
XM_067087173.1	M1
XM_067087175.1	M1
XM_067087176.1	M5
XM_067087178.1	M1
XM_067087179.1	M1
XM_067087181.1	M7
XM_067087182.1	M1
XM_067087183.1	M6
XM_067087185.1	M2
XM_067087186.1	M1
XM_067087207.1	M2
XM_067087208.1	M1
XM_067087209.1	M4
XM_067087218.1	M2
XM_067087219.1	M2
XM_067087220.1	M7
XM_067087229.1	M5
XM_067087230.1	M1
XM_067087231.1	M1
XM_067087236.1	M2
XM_067087241.1	M2
XM_067087244.1	M1
XM_067087245.1	M1
XM_067087249.1	M1
XM_067087254.1	M7
XM_067087256.1	M1
XM_067087257.1	M1
XM_067087258.1	M1
XM_067087260.1	M0
XM_067087262.1	M3
XM_067087290.1	M1
XM_067087294.1	M6
XM_067087298.1	M4
XM_067087299.1	M1
XM_067087301.1	M1
XM_067087308.1	M1
XM_067087318.1	M1
XM_067087319.1	M1
XM_067087322.1	M1
XM_067087325.1	M1
XM_067087331.1	M2
XM_067087332.1	M1
XM_067087334.1	M1
XM_067087335.1	M1
XM_067087336.1	M5
XM_067087338.1	M1
XM_067087339.1	M1
XM_067087340.1	M2
XM_067087344.1	M1
XM_067087346.1	M1
XM_067087347.1	M1
XM_067087349.1	M1
XM_067087354.1	M4
XM_067087357.1	M6
XM_067087361.1	M1
XM_067087362.1	M1
XM_067087365.1	M1
XM_067087366.1	M1
XM_067087368.1	M1
XM_067087369.1	M2
XM_067087370.1	M1
XM_067087371.1	M1
XM_067087413.1	M1
XM_067087424.1	M1
XM_067087456.1	M2
XM_067087458.1	M2
XM_067087472.1	M1
XM_067087524.1	M2
XM_067087533.1	M4
XM_067087534.1	M6
XM_067087571.1	M3
XM_067087572.1	M2
XM_067087584.1	M2
XM_067087586.1	M1
XM_067087587.1	M1
XM_067087588.1	M6
XM_067087589.1	M4
XM_067087594.1	M7
XM_067087595.1	M2
XM_067087596.1	M1
XM_067087597.1	M1
XM_067087598.1	M1
XM_067087603.1	M4
XM_067087604.1	M4
XM_067087606.1	M4
XM_067087608.1	M3
XM_067087610.1	M4
XM_067087613.1	M1
XM_067087615.1	M1
XM_067087618.1	M4
XM_067087619.1	M1
XM_067087620.1	M1
XM_067087631.1	M1
XM_067087635.1	M4
XM_067087636.1	M4
XM_067087644.1	M2
XM_067087662.1	M3
XM_067087672.1	M2
XM_067087673.1	M5
XM_067087674.1	M1
XM_067087675.1	M1
XM_067087686.1	M2
XM_067087688.1	M1
XM_067087690.1	M1
XM_067087695.1	M1
XM_067087699.1	M6
XM_067087700.1	M4
XM_067087702.1	M1
XM_067087732.1	M2
XM_067087734.1	M7
XM_067087736.1	M1
XM_067087738.1	M3
XM_067087740.1	M2
XM_067087750.1	M10
XM_067087751.1	M2
XM_067087752.1	M1
XM_067087753.1	M1
XM_067087755.1	M1
XM_067087757.1	M1
XM_067087761.1	M1
XM_067087762.1	M1
XM_067087764.1	M9
XM_067087770.1	M5
XM_067087771.1	M5
XM_067087778.1	M4
XM_067087800.1	M2
XM_067087804.1	M1
XM_067087806.1	M1
XM_067087808.1	M1
XM_067087809.1	M1
XM_067087811.1	M1
XM_067087812.1	M1
XM_067087814.1	M2
XM_067087815.1	M2
XM_067087818.1	M1
XM_067087821.1	M6
XM_067087824.1	M3
XM_067087830.1	M1
XM_067087852.1	M1
XM_067087854.1	M1
XM_067087856.1	M1
XM_067087857.1	M4
XM_067087858.1	M1
XM_067087859.1	M2
XM_067087860.1	M2
XM_067087861.1	M2
XM_067087862.1	M2
XM_067087864.1	M1
XM_067087870.1	M1
XM_067087888.1	M3
XM_067087889.1	M1
XM_067087890.1	M8
XM_067087893.1	M2
XM_067087894.1	M3
XM_067087895.1	M3
XM_067087896.1	M2
XM_067087930.1	M3
XM_067087932.1	M7
XM_067087933.1	M1
XM_067087935.1	M7
XM_067087936.1	M7
XM_067087937.1	M4
XM_067087954.1	M6
XM_067087968.1	M2
XM_067087969.1	M2
XM_067087970.1	M2
XM_067087971.1	M2
XM_067087972.1	M2
XM_067087978.1	M1
XM_067087995.1	M1
XM_067088035.1	M9
XM_067088037.1	M1
XM_067088039.1	M1
XM_067088040.1	M4
XM_067088042.1	M1
XM_067088043.1	M1
XM_067088044.1	M8
XM_067088045.1	M3
XM_067088050.1	M1
XM_067088052.1	M1
XM_067088053.1	M1
XM_067088055.1	M2
XM_067088056.1	M2
XM_067088057.1	M1
XM_067088077.1	M1
XM_067088082.1	M1
XM_067088091.1	M1
XM_067088100.1	M1
XM_067088103.1	M1
XM_067088107.1	M1
XM_067088113.1	M1
XM_067088122.1	M2
XM_067088123.1	M1
XM_067088127.1	M2
XM_067088133.1	M1
XM_067088134.1	M6
XM_067088143.1	M2
XM_067088149.1	M3
XM_067088151.1	M1
XM_067088152.1	M2
XM_067088156.1	M1
XM_067088157.1	M1
XM_067088159.1	M1
XM_067088162.1	M1
XM_067088164.1	M2
XM_067088166.1	M1
XM_067088168.1	M1
XM_067088169.1	M1
XM_067088170.1	M1
XM_067088173.1	M2
XM_067088174.1	M1
XM_067088177.1	M1
XM_067088181.1	M1
XM_067088182.1	M1
XM_067088184.1	M1
XM_067088185.1	M1
XM_067088186.1	M1
XM_067088189.1	M3
XM_067088190.1	M1
XM_067088191.1	M1
XM_067088197.1	M1
XM_067088207.1	M1
XM_067088209.1	M9
XM_067088213.1	M1
XM_067088221.1	M1
XM_067088224.1	M3
XM_067088225.1	M2
XM_067088228.1	M1
XM_067088230.1	M6
XM_067088231.1	M1
XM_067088232.1	M5
XM_067088233.1	M6
XM_067088236.1	M1
XM_067088241.1	M1
XM_067088248.1	M4
XM_067088250.1	M9
XM_067088251.1	M1
XM_067088252.1	M5
XM_067088254.1	M1
XM_067088257.1	M9
XM_067088262.1	M1
XM_067088263.1	M2
XM_067088265.1	M6
XM_067088280.1	M1
XM_067088285.1	M5
XM_067088293.1	M1
XM_067088294.1	M2
XM_067088296.1	M14
XM_067088297.1	M14
XM_067088298.1	M2
XM_067088299.1	M2
XM_067088301.1	M1
XM_067088304.1	M1
XM_067088305.1	M1
XM_067088307.1	M1
XM_067088309.1	M1
XM_067088312.1	M1
XM_067088313.1	M1
XM_067088314.1	M1
XM_067088317.1	M1
XM_067088318.1	M2
XM_067088325.1	M1
XM_067088334.1	M3
XM_067088335.1	M8
XM_067088336.1	M4
XM_067088349.1	M1
XM_067088350.1	M6
XM_067088352.1	M2
XM_067088354.1	M7
XM_067088360.1	M1
XM_067088361.1	M1
XM_067088372.1	M2
XM_067088373.1	M1
XM_067088374.1	M9
XM_067088387.1	M1
XM_067088388.1	M2
XM_067088393.1	M6
XM_067088395.1	M2
XM_067088396.1	M1
XM_067088398.1	M1
XM_067088400.1	M1
XM_067088439.1	M1
XM_067088444.1	M1
XM_067088451.1	M2
XM_067088457.1	M2
XM_067088461.1	M2
XM_067088462.1	M7
XM_067088466.1	M2
XM_067088504.1	M2
XM_067088516.1	M13
XM_067088517.1	M7
XM_067088528.1	M6
XM_067088531.1	M1
XM_067088532.1	M1
XM_067088533.1	M1
XM_067088537.1	M1
XM_067088543.1	M4
XM_067088544.1	M7
XM_067088546.1	M1
XM_067088548.1	M1
XM_067088549.1	M1
XM_067088551.1	M1
XM_067088554.1	M2
XM_067088562.1	M3
XM_067088563.1	M1
XM_067088574.1	M0
XM_067088589.1	M5
XM_067088592.1	M2
XM_067088594.1	M1
XM_067088595.1	M1
XM_067088596.1	M4
XM_067088599.1	M4
XM_067088619.1	M1
XM_067088620.1	M2
XM_067088621.1	M1
XM_067088623.1	M3
XM_067088628.1	M1
XM_067088629.1	M17
XM_067088630.1	M17
XM_067088631.1	M9
XM_067088632.1	M1
XM_067088634.1	M1
XM_067088639.1	M1
XM_067088640.1	M1
XM_067088642.1	M1
XM_067088645.1	M2
XM_067088672.1	M1
XM_067088677.1	M4
XM_067088679.1	M6
XM_067088682.1	M3
XM_067088683.1	M1
XM_067088684.1	M1
XM_067088685.1	M1
XM_067088686.1	M6
XM_067088689.1	M2
XM_067088691.1	M6
XM_067088693.1	M2
XM_067088694.1	M14
XM_067088695.1	M4
XM_067088698.1	M10
XM_067088699.1	M2
XM_067088708.1	M1
XM_067088709.1	M1
XM_067088710.1	M1
XM_067088712.1	M1
XM_067088716.1	M1
XM_067088722.1	M2
XM_067088727.1	M1
XM_067088741.1	M2
XM_067088755.1	M1
XM_067088757.1	M1
XM_067088758.1	M1
XM_067088760.1	M1
XM_067088761.1	M1
XM_067088762.1	M1
XM_067088763.1	M4
XM_067088764.1	M3
XM_067088765.1	M2
XM_067088766.1	M2
XM_067088770.1	M2
XM_067088771.1	M1
XM_067088789.1	M8
XM_067088803.1	M3
XM_067088808.1	M4
XM_067088809.1	M4
XM_067088810.1	M4
XM_067088815.1	M9
XM_067088816.1	M1
XM_067088817.1	M5
XM_067088818.1	M1
XM_067088819.1	M1
XM_067088825.1	M1
XM_067088826.1	M1
XM_067088827.1	M3
XM_067088829.1	M1
XM_067088831.1	M1
XM_067088841.1	M5
XM_067088842.1	M1
XM_067088849.1	M9
XM_067088851.1	M2
XM_067088852.1	M13
XM_067088867.1	M1
XM_067088868.1	M6
XM_067088869.1	M1
XM_067088870.1	M1
XM_067088872.1	M9
XM_067088873.1	M1
XM_067088875.1	M1
XM_067088876.1	M1
XM_067088878.1	M1
XM_067088879.1	M1
XM_067088920.1	M5
XM_067088926.1	M1
XM_067088929.1	M2
XM_067088937.1	M1
XM_067088940.1	M1
XM_067088942.1	M1
XM_067088945.1	M1
XM_067088946.1	M1
XM_067088947.1	M1
XM_067088949.1	M9
XM_067088950.1	M1
XM_067088952.1	M1
XM_067088954.1	M1
XM_067088959.1	M1
XM_067088964.1	M1
XM_067088965.1	M6
XM_067088967.1	M1
XM_067088968.1	M1
XM_067088969.1	M1
XM_067088972.1	M3
XM_067088973.1	M3
XM_067089006.1	M5
XM_067089009.1	M5
XM_067089011.1	M11
XM_067089013.1	M3
XM_067089014.1	M3
XM_067089015.1	M1
XM_067089016.1	M1
XM_067089019.1	M1
XM_067089020.1	M1
XM_067089021.1	M1
XM_067089022.1	M4
XM_067089026.1	M6
XM_067089027.1	M1
XM_067089029.1	M1
XM_067089035.1	M1
XM_067089041.1	M3
XM_067089046.1	M2
XM_067089048.1	M3
XM_067089057.1	M3
XM_067089062.1	M1
XM_067089063.1	M1
XM_067089064.1	M1
XM_067089067.1	M1
XM_067089069.1	M2
XM_067089070.1	M4
XM_067089073.1	M2
XM_067089094.1	M15
XM_067089097.1	M1
XM_067089104.1	M1
XM_067089120.1	M7
XM_067089128.1	M0
XM_067089130.1	M2
XM_067089141.1	M4
XM_067089144.1	M1
XM_067089164.1	M1
XM_067089166.1	M4
XM_067089167.1	M4
XM_067089168.1	M4
XM_067089169.1	M4
XM_067089184.1	M2
XM_067089189.1	M1
XM_067089190.1	M1
XM_067089191.1	M1
XM_067089193.1	M8
XM_067089194.1	M1
XM_067089200.1	M1
XM_067089202.1	M1
XM_067089203.1	M1
XM_067089204.1	M1
XM_067089205.1	M8
XM_067089210.1	M4
XM_067089221.1	M1
XM_067089240.1	M4
XM_067089241.1	M4
XM_067089256.1	M2
XM_067089257.1	M5
XM_067089271.1	M1
XM_067089274.1	M4
XM_067089275.1	M2
XM_067089279.1	M1
XM_067089286.1	M3
XM_067089294.1	M7
XM_067089297.1	M4
XM_067089308.1	M1
XM_067089313.1	M10
XM_067089323.1	M10
XM_067089326.1	M2
XM_067089330.1	M5
XM_067089333.1	M5
XM_067089337.1	M5
XM_067089339.1	M1
XM_067089341.1	M1
XM_067089349.1	M1
XM_067089350.1	M1
XM_067089351.1	M1
XM_067089352.1	M1
XM_067089353.1	M1
XM_067089354.1	M2
XM_067089355.1	M2
XM_067089356.1	M1
XM_067089357.1	M1
XM_067089358.1	M1
XM_067089363.1	M1
XM_067089370.1	M1
XM_067089378.1	M5
XM_067089383.1	M1
XM_067089385.1	M1
XM_067089400.1	M3
XM_067089415.1	M1
XM_067089416.1	M11
XM_067089421.1	M2
XM_067089423.1	M2
XM_067089424.1	M1
XM_067089425.1	M2
XM_067089426.1	M5
XM_067089427.1	M2
XM_067089444.1	M12
XM_067089445.1	M1
XM_067089465.1	M1
XM_067089466.1	M3
XM_067089467.1	M1
XM_067089472.1	M1
XM_067089473.1	M1
XM_067089474.1	M2
XM_067089475.1	M2
XM_067089477.1	M2
XM_067089478.1	M1
XM_067089485.1	M2
XM_067089490.1	M2
XM_067089491.1	M2
XM_067089492.1	M1
XM_067089493.1	M4
XM_067089495.1	M1
XM_067089496.1	M2
XM_067089497.1	M2
XM_067089498.1	M2
XM_067089500.1	M2
XM_067089501.1	M2
XM_067089502.1	M1
XM_067089505.1	M3
XM_067089509.1	M1
XM_067089517.1	M12
XM_067089518.1	M0
XM_067089519.1	M7
XM_067089520.1	M7
XM_067089521.1	M13
XM_067089526.1	M2
XM_067089527.1	M9
XM_067089529.1	M1
XM_067089530.1	M2
XM_067089531.1	M2
XM_067089532.1	M7
XM_067089533.1	M1
XM_067089558.1	M1
XM_067089562.1	M1
XM_067089563.1	M4
XM_067089576.1	M2
XM_067089585.1	M2
XM_067089595.1	M2
XM_067089596.1	M1
XM_067089607.1	M1
XM_067089608.1	M2
XM_067089614.1	M6
XM_067089625.1	M1
XM_067089630.1	M1
XM_067089648.1	M1
XM_067089649.1	M1
XM_067089650.1	M6
XM_067089658.1	M2
XM_067089665.1	M1
XM_067089667.1	M1
XM_067089670.1	M1
XM_067089674.1	M2
XM_067089676.1	M3
XM_067089677.1	M3
XM_067089678.1	M1
XM_067089680.1	M7
XM_067089684.1	M1
XM_067089690.1	M6
XM_067089694.1	M1
XM_067089695.1	M1
XM_067089700.1	M1
XM_067089701.1	M1
XM_067089702.1	M5
XM_067089703.1	M1
XM_067089704.1	M14
XM_067089707.1	M3
XM_067089710.1	M3
XM_067089711.1	M1
XM_067089712.1	M1
XM_067089713.1	M6
XM_067089717.1	M1
XM_067089718.1	M1
XM_067089719.1	M2
XM_067089721.1	M2
XM_067089723.1	M1
XM_067089726.1	M5
XM_067089727.1	M7
XM_067089728.1	M7
XM_067089729.1	M7
XM_067089730.1	M13
XM_067089731.1	M2
XM_067089732.1	M2
XM_067089733.1	M0
XM_067089737.1	M1
XM_067089739.1	M8
XM_067089741.1	M2
XM_067089742.1	M2
XM_067089744.1	M9
XM_067089747.1	M9
XM_067089749.1	M1
XM_067089750.1	M2
XM_067089753.1	M4
XM_067089754.1	M10
XM_067089755.1	M4
XM_067089758.1	M1
XM_067089760.1	M9
XM_067089762.1	M2
XM_067089773.1	M2
XM_067089774.1	M1
XM_067089777.1	M4
XM_067089779.1	M1
XM_067089784.1	M1
XM_067089787.1	M1
XM_067089793.1	M1
XM_067089794.1	M1
XM_067089795.1	M1
XM_067089796.1	M1
XM_067089799.1	M2
XM_067089800.1	M1
XM_067089802.1	M2
XM_067089807.1	M4
XM_067089811.1	M8
XM_067089823.1	M1
XM_067089827.1	M3
XM_067089852.1	M4
XM_067089853.1	M1
XM_067089854.1	M1
XM_067089856.1	M1
XM_067089858.1	M8
XM_067089860.1	M1
XM_067089863.1	M7
XM_067089864.1	M7
XM_067089865.1	M2
XM_067089866.1	M2
XM_067089868.1	M2
XM_067089869.1	M2
XM_067089870.1	M2
XM_067089871.1	M2
XM_067089872.1	M2
XM_067089873.1	M2
XM_067089874.1	M2
XM_067089877.1	M4
XM_067089878.1	M1
XM_067089896.1	M1
XM_067089897.1	M8
XM_067089901.1	M1
XM_067089902.1	M10
XM_067089909.1	M1
XM_067089921.1	M1
XM_067089957.1	M3
XM_067089964.1	M1
XM_067089966.1	M1
XM_067089969.1	M7
XM_067089974.1	M1
XM_067089976.1	M2
XM_067089991.1	M1
XM_067090001.1	M15
XM_067090007.1	M4
XM_067090008.1	M4
XM_067090013.1	M1
XM_067090041.1	M1
XM_067090047.1	M1
XM_067090054.1	M1
XM_067090057.1	M1
XM_067090059.1	M3
XM_067090067.1	M1
XM_067090077.1	M12
XM_067090080.1	M1
XM_067090086.1	M3
XM_067090096.1	M4
XM_067090097.1	M1
XM_067090098.1	M7
XM_067090120.1	M2
XM_067090121.1	M2
XM_067090122.1	M1
XM_067090124.1	M2
XM_067090126.1	M2
XM_067090127.1	M1
XM_067090128.1	M2
XM_067090129.1	M7
XM_067090135.1	M1
XM_067090136.1	M4
XM_067090146.1	M1
XM_067090147.1	M1
XM_067090151.1	M3
XM_067090155.1	M6
XM_067090158.1	M2
XM_067090175.1	M2
XM_067090181.1	M13
XM_067090184.1	M7
XM_067090185.1	M2
XM_067090186.1	M11
XM_067090187.1	M2
XM_067090188.1	M2
XM_067090192.1	M1
XM_067090193.1	M1
XM_067090194.1	M1
XM_067090198.1	M2
XM_067090199.1	M2
XM_067090201.1	M4
XM_067090202.1	M4
XM_067090203.1	M4
XM_067090207.1	M4
XM_067090208.1	M3
XM_067090211.1	M1
XM_067090212.1	M2
XM_067090213.1	M1
XM_067090216.1	M1
XM_067090217.1	M1
XM_067090218.1	M1
XM_067090219.1	M1
XM_067090228.1	M2
XM_067090230.1	M1
XM_067090231.1	M2
XM_067090232.1	M2
XM_067090246.1	M1
XM_067090249.1	M2
XM_067090251.1	M1
XM_067090252.1	M1
XM_067090259.1	M1
XM_067090261.1	M12
XM_067090263.1	M3
XM_067090264.1	M2
XM_067090268.1	M7
XM_067090269.1	M1
XM_067090271.1	M1
XM_067090276.1	M2
XM_067090277.1	M2
XM_067090278.1	M4
XM_067090279.1	M3
XM_067090281.1	M5
XM_067090283.1	M0
XM_067090288.1	M0
XM_067090304.1	M10
XM_067090305.1	M1
XM_067090306.1	M4
XM_067090307.1	M1
XM_067090314.1	M1
XM_067090336.1	M6
XM_067090362.1	M1
XM_067090367.1	M1
XM_067090373.1	M5
XM_067090376.1	M2
XM_067090396.1	M1
XM_067090397.1	M4
XM_067090407.1	M1
XM_067090412.1	M1
XM_067090413.1	M1
XM_067090414.1	M1
XM_067090416.1	M1
XM_067090417.1	M10
XM_067090454.1	M5
XM_067090458.1	M5
XM_067090459.1	M4
XM_067090461.1	M5
XM_067090464.1	M4
XM_067090470.1	M2
XM_067090471.1	M1
XM_067090490.1	M1
XM_067090492.1	M1
XM_067090494.1	M7
XM_067090495.1	M1
XM_067090498.1	M2
XM_067090499.1	M1
XM_067090500.1	M3
XM_067090501.1	M3
XM_067090502.1	M2
XM_067090509.1	M1
XM_067090511.1	M1
XM_067090513.1	M1
XM_067090515.1	M1
XM_067090517.1	M1
XM_067090519.1	M3
XM_067090525.1	M1
XM_067090526.1	M1
XM_067090541.1	M1
XM_067090542.1	M1
XM_067090544.1	M2
XM_067090547.1	M1
XM_067090548.1	M2
XM_067090550.1	M1
XM_067090551.1	M1
XM_067090553.1	M1
XM_067090556.1	M1
XM_067090557.1	M2
XM_067090600.1	M12
XM_067090613.1	M8
XM_067090617.1	M2
XM_067090624.1	M1
